term,coefficient,std_error,p_value
const,8.623978757366705,0.23274344932002974,1.572444598220239e-300
log_gdp_per_capita,-0.2638065493668907,0.04550990372041098,6.763880227280701e-09
female_literacy_rate,-0.0067446429003881914,0.004102677231738322,0.10018418118456349
health_expenditure_per_capita,-6.612072441609078e-05,5.1243498260366035e-05,0.19693812797595667
urban_population_pct,0.003953482891537622,0.0038936159441033975,0.3099267869790945
skilled_birth_attendance,-0.004914691575586008,0.0017678328183670657,0.005434788332910028
